Chrom,Begin Ref Site,End Ref Site,Overlay_Type,Occurrences,Experimental_Peaks,GeneIDs
2L,2295547,2295951,PXP,1,2L:2296593-2296629,Not in GTF
2L,2295977,2296496,PXP,1,2L:2296593-2296629,Not in GTF
2L,2296690,2297539,PXP,1,2L:2296593-2296629,Not in GTF
2L,3652068,3652268,PXP,1,2L:3652502-3652668,FBgn0000721
2L,3653201,3653518,PXP,1,2L:3652502-3652668,FBgn0000721
2L,8015551,8016175,PXP,1,2L:8016331-8016494,FBgn0031975
2L,8016591,8017414,PXP,1,2L:8016331-8016494,FBgn0031975
2L,11540688,11541197,PXP,1,2L:11541213-11541246,Not in GTF
2L,11541638,11542613,PXP,1,2L:11541213-11541246,Not in GTF
2L,13216372,13216594,PXP,1,2L:13215971-13216030,FBgn0032485
2L,13244301,13244767,PXP,1,2L:13244938-13244975,FBgn0266869
2L,14805367,14806259,PXP,1,2L:14806423-14806464,Not in GTF
2L,14806514,14807743,PXP,1,2L:14806423-14806464,Not in GTF
2L,16143343,16143823,PXP,1,2L:16143831-16143979,Not in GTF
2L,16144077,16145193,PXP,1,2L:16143831-16143979,Not in GTF
2L,19008852,19009073,PXP,1,2L:19008612-19008637,FBgn0051793
2L,19348446,19348699,PXP,1,2L:19347941-19347980,FBgn0024245
2L,23109719,23110037,PXP,1,2L:23110295-23110348,Not in GTF
2R,6153818,6154053,PXP,2,"2R:6153212-6153260,2R:6153505-6153552",FBgn0000546
2R,11662024,11662441,PXP,1,2R:11662955-11662993,FBgn0044020
2R,11663524,11663745,PXP,1,2R:11662955-11662993,FBgn0044020
2R,13946908,13947129,PXP,1,2R:13946638-13946677,FBgn0262739
2R,14624344,14624642,PXP,2,"2R:14623798-14623849,2R:14624282-14624327",FBgn0083123 FBgn0082941
2R,16219749,16219967,PXP,1,2R:16220084-16220124,FBgn0034091
2R,17391908,17392883,PXP,1,2R:17391773-17391809,Not in GTF
2R,17604150,17604460,PXP,1,2R:17604807-17604844,FBgn0034253 FBgn0029006
2R,17605058,17605329,PXP,1,2R:17604807-17604844,FBgn0034253 FBgn0029006
2R,18833880,18834377,PXP,1,2R:18833532-18833561,FBgn0034397 FBgn0034399
2R,19726866,19727409,"CRO,PXP","2,2","2R:19727097-19727173,2R:19727212-197272472R:19726140-19726180,2R:19727977-19728032",Not in GTF
2R,19728880,19729099,PXP,2,"2R:19727977-19728032,2R:19729576-19729621",Not in GTF
2R,19729775,19729975,PXP,1,2R:19729576-19729621,Not in GTF
3L,225631,226052,PXP,1,3L:226506-226545,FBgn0053229 FBgn0262109
3L,229672,229872,PXP,1,3L:229492-229536,FBgn0262109
3L,1488687,1488907,PXP,1,3L:1489005-1489045,FBgn0020248
3L,1489540,1490011,PXP,1,3L:1489005-1489045,FBgn0020248 FBgn0043458
3L,1502793,1503034,PXP,1,3L:1503113-1503139,FBgn0011204 FBgn0261243 FBgn0028577
3L,3091536,3091772,PXP,1,3L:3090872-3090932,FBgn0035398
3L,3601796,3602208,PXP,1,3L:3601489-3601541,FBgn0005640
3L,7856126,7856582,PXP,1,3L:7856638-7856675,FBgn0016694
3L,13023717,13023971,PXP,1,3L:13023612-13023648,FBgn0266709
3L,14469031,14469426,PXP,1,3L:14468642-14468688,FBgn0087007
3L,14469780,14470954,PXP,1,3L:14471114-14471322,FBgn0087007
3L,14471337,14471623,PXP,1,3L:14471114-14471322,FBgn0087007
3L,14471785,14472353,PXP,1,3L:14471114-14471322,FBgn0087007
3L,16687127,16688008,PXP,1,3L:16686745-16686911,FBgn0063485 FBgn0264605
3L,21007327,21007543,PXP,1,3L:21006416-21006443,FBgn0003415
3L,24246815,24247223,PXP,1,3L:24247477-24247525,FBgn0011288
3L,26557540,26558044,PXP,1,3L:26558126-26558272,Not in GTF
3L,26558701,26559200,PXP,1,3L:26558126-26558272,Not in GTF
3L,27267766,27268017,"ORE,PXP","1,1",3L:27267974-272680193L:27268280-27268316,Not in GTF
3R,5597231,5597444,PXP,2,"3R:5596560-5596596,3R:5598124-5598155",FBgn0250753 FBgn0082961 FBgn0082988
3R,5624178,5624378,PXP,1,3R:5625212-5625250,FBgn0037351 FBgn0037350 FBgn0086051 FBgn0044823
3R,7474063,7474313,PXP,1,3R:7474702-7474730,FBgn0043853 FBgn0037504
3R,7474747,7475033,PXP,1,3R:7474702-7474730,FBgn0037504
3R,7475148,7475348,PXP,1,3R:7474702-7474730,Not in GTF
3R,8814288,8814637,PXP,1,3R:8815012-8815053,FBgn0286516 FBgn0037635
3R,9680003,9680289,PXP,1,3R:9679510-9679546,FBgn0028997 FBgn0037728
3R,9680352,9680723,PXP,1,3R:9679510-9679546,FBgn0037728 FBgn0037730
3R,11224985,11225247,PXP,1,3R:11224327-11224359,FBgn0037879 FBgn0020910
3R,13638557,13638757,PXP,4,"3R:13637805-13637845,3R:13639198-13639233,3R:13639392-13639427,3R:13639520-13639556",FBgn0263396
3R,16205265,16205484,PXP,1,3R:16206123-16206175,FBgn0010438 FBgn0051287
3R,16206910,16207111,PXP,1,3R:16206123-16206175,Not in GTF
3R,16244651,16244971,PXP,1,3R:16245634-16245662,FBgn0040071
3R,16321989,16322338,PXP,1,3R:16321439-16321476,FBgn0040271
3R,20110973,20111869,PXP,1,3R:20112084-20112124,Not in GTF
3R,20821820,20822272,PXP,2,"3R:20822608-20822656,3R:20822675-20822706",FBgn0038829 FBgn0019936
3R,23958395,23958636,PXP,1,3R:23959101-23959132,FBgn0039132 FBgn0267761 FBgn0005674
3R,25323581,25323906,PXP,1,3R:25324412-25324442,FBgn0045761 FBgn0039326
3R,26106103,26106839,PXP,1,3R:26107043-26107084,FBgn0051324
3R,28318582,28318782,PXP,1,3R:28319577-28319610,FBgn0261618
3R,30772536,30773261,PXP,1,3R:30773692-30773729,FBgn0004606
M,96,913,"CRO,PXP","1,3","M:201-240M:15-65,M:1320-1374,M:1400-1433",Not in GTF
M,7153,7722,PXP,1,M:8140-8176,Not in GTF
M,8446,8900,PXP,1,M:8140-8176,Not in GTF
M,13935,14644,"CRO,PXP","4,4","M:13983-14030,M:14130-14160,M:14188-14240,M:14356-14395M:13313-13369,M:13395-13447,M:13860-13908,M:14717-14761",Not in GTF
X,508941,509295,PXP,1,X:508724-508750,FBgn0004648 FBgn0260400 FBgn0023535
X,5931492,5931692,PXP,1,X:5932105-5932159,FBgn0029824
X,6277318,6277740,PXP,1,X:6278066-6278105,FBgn0029854 FBgn0086558
X,7695752,7696330,PXP,1,X:7695622-7695670,FBgn0029504
X,13283850,13284050,PXP,1,X:13284579-13284624,FBgn0041210
X,14034469,14035164,PXP,1,X:14035194-14035247,Not in GTF
X,17146092,17146365,PXP,5,"X:17145505-17145534,X:17145730-17145769,X:17145851-17145880,X:17145929-17145960,X:17146013-17146043",FBgn0002590
X,20251320,20252294,PXP,1,X:20252413-20252438,FBgn0031098 FBgn0015789
X,23197490,23197690,PXP,1,X:23196755-23196801,Not in GTF
X,23213489,23213731,PXP,10,"X:23212666-23212708,X:23212717-23212798,X:23212800-23212837,X:23212885-23212963,X:23213060-23213120,X:23213961-23214011,X:23214310-23214365,X:23214389-23214427,X:23214471-23214527,X:23214575-23214684",FBgn0267519 FBgn0085813
X,23214212,23214517,"CRO,ORE,PXP","2,1,9","X:23214310-23214365,X:23214389-23214427X:23214471-23214527X:23213961-23214011,X:23214575-23214684,X:23214700-23214738,X:23214764-23214851,X:23214851-23214939,X:23214974-23215029,X:23215027-23215093,X:23215181-23215235,X:23215329-23215373",FBgn0267519
X,23215399,23217171,"CRO,ORF,PXP","14,1,1","X:23215482-23215525,X:23215529-23215573,X:23215630-23215707,X:23215726-23215787,X:23215826-23215904,X:23215920-23215987,X:23216001-23216029,X:23216135-23216250,X:23216280-23216353,X:23216374-23216442,X:23216443-23216515,X:23216533-23216604,X:23216809-23216843,X:23217026-23217111X:23215398-23215467X:23215329-23215373",Not in GTF
X,23278073,23278549,"CRO,ORF,PXP","5,1,8","X:23278148-23278193,X:23278217-23278296,X:23278300-23278379,X:23278403-23278451,X:23278454-23278518X:23278053-23278128X:23278001-23278051,X:23278563-23278610,X:23278652-23278722,X:23278723-23278815,X:23278943-23278997,X:23279059-23279119,X:23279122-23279145,X:23279280-23279330",FBgn0267522 FBgn0267516
X,23278769,23279992,"CRO,ORF,PXP","8,1,5","X:23278943-23278997,X:23279059-23279119,X:23279122-23279145,X:23279280-23279330,X:23279370-23279455,X:23279560-23279609,X:23279634-23279752,X:23279768-23279873X:23278723-23278815X:23278403-23278451,X:23278454-23278518,X:23278563-23278610,X:23278652-23278722,X:23280154-23280245",FBgn0267516
X,23280289,23280603,"CRO,PXP","1,10","X:23280395-23280440X:23279370-23279455,X:23279560-23279609,X:23279634-23279752,X:23279768-23279873,X:23280154-23280245,X:23280718-23280760,X:23280995-23281046,X:23281033-23281101,X:23281173-23281237,X:23281293-23281360",FBgn0267522 FBgn0267516 FBgn0267521
X,23280992,23281463,"CRO,PXP","4,11","X:23280995-23281046,X:23281033-23281101,X:23281173-23281237,X:23281293-23281360X:23280154-23280245,X:23280395-23280440,X:23280718-23280760,X:23281544-23281619,X:23281661-23281701,X:23281744-23281822,X:23281823-23281860,X:23281892-23281952,X:23281988-23282018,X:23282033-23282097,X:23282108-23282166",FBgn0267522 FBgn0267516 FBgn0267521
X,23282125,23283288,"CRO,ORF,PXP","7,1,8","X:23282305-23282387,X:23282430-23282499,X:23282515-23282567,X:23282605-23282688,X:23282717-23282767,X:23282767-23282813,X:23282877-23282959X:23282108-23282166X:23281744-23281822,X:23281823-23281860,X:23281892-23281952,X:23281988-23282018,X:23282033-23282097,X:23283362-23283394,X:23283526-23283569,X:23283569-23283616",FBgn0267516 FBgn0267521
X,23283521,23284212,"CRO,PXP","2,2","X:23283526-23283569,X:23283569-23283616X:23282877-23282959,X:23283362-23283394",FBgn0267516 FBgn0267521
X,23290153,23290590,PXP,1,X:23290791-23290838,FBgn0267523
X,23290886,23292037,"CRO,PXP","3,1","X:23291543-23291597,X:23291657-23291734,X:23291971-23292014X:23290791-23290838",Not in GTF
X,23438706,23440282,"CRO,ORE,ORF,PXP","7,1,1,2","X:23438770-23438848,X:23438857-23438902,X:23439594-23439653,X:23439697-23439780,X:23440019-23440078,X:23440098-23440133,X:23440154-23440211X:23440251-23440299X:23438705-23438764X:23440337-23440410,X:23440424-23440482",Not in GTF
X,23440352,23442125,"CRO,ORF,PXP","14,1,1","X:23440424-23440482,X:23440569-23440623,X:23440794-23440855,X:23441003-23441087,X:23441114-23441167,X:23441161-23441191,X:23441208-23441285,X:23441337-23441409,X:23441414-23441473,X:23441661-23441714,X:23441732-23441783,X:23441784-23441828,X:23441835-23441896,X:23441968-23442048X:23440337-23440410X:23440251-23440299",Not in GTF
X,23455372,23456975,"CRO,PXP","12,1","X:23455522-23455590,X:23455618-23455687,X:23455753-23455820,X:23455970-23456035,X:23456043-23456086,X:23456196-23456272,X:23456317-23456385,X:23456416-23456491,X:23456588-23456676,X:23456700-23456758,X:23456761-23456823,X:23456879-23456917X:23455182-23455221",Not in GTF
